wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,0.01659751,0.0,0.01659751,0.0,0.049792531,0.091286307,0.0,0.0,0.0,0.0,0.0,0.004149378,0.0,0.004149378,0.012448133,0.049792531,0.033195021,0.053941909,0.012448133,0.070539419,0.307053942,0.0,0.0,0.004149378,0.01659751,0.112033195,0.024896266,0.0,0.0,0.004149378,0.008298755,0.008298755,0.0,0.0,0.0,0.01659751,0.0,0.004149378,0.0,0.0,0.0,0.0,0.074688797,0.0,0.0,0.0,0.0,0.0,0.004149378,0.0,0.0,0.0
2,0.0,0.190141137,0.164935226,0.012665039,0.011547535,0.006084185,0.00041389,0.001655561,0.001448616,0.000910558,0.003021398,0.011381979,0.001738339,0.00463557,0.004470014,0.008236414,0.009146972,0.006249741,0.006953355,0.040312901,0.006456686,0.079798022,0.006332519,0.024833409,0.020818675,0.002690286,0.021315343,0.008526137,0.005380572,0.023798684,0.013699764,0.017962833,0.00922975,0.056040727,0.0037664,0.017259219,0.008733082,0.013658375,0.002276396,0.001117503,0.01345143,0.003393899,0.106742271,0.005173627,0.001324448,0.00211084,0.001283059,0.006249741,0.007822524,0.000703613,0.014237821,0.007863913
3,0.0,0.05619187,0.308115168,0.008195545,0.010190607,0.016075324,0.000502354,0.00130612,0.001033414,0.001191296,0.001349179,0.006946837,0.001334826,0.005425422,0.005612011,0.020768745,0.007693191,0.005583305,0.006415777,0.089462051,0.007994603,0.022103571,0.00275577,0.033916064,0.069009071,0.002640946,0.024098634,0.005769893,0.003301183,0.021328511,0.01324779,0.017898151,0.009056723,0.033629004,0.004923068,0.013649673,0.008941899,0.009056723,0.002540475,0.000932943,0.008296016,0.002526122,0.09250488,0.0028993,0.001277414,0.001377885,0.001090826,0.005999541,0.007291308,0.000373177,0.009602136,0.006573659
4,0.0,0.039646234,0.052881976,0.205062519,0.004940531,0.010856969,0.000243977,0.000914913,0.000975907,0.000914913,0.001097896,0.097041781,0.024885636,0.055931686,0.067215615,0.00463556,0.003232693,0.002195791,0.002134797,0.015919488,0.002378774,0.097163769,0.012137847,0.064531869,0.027203416,0.00115889,0.011588899,0.005916438,0.002866728,0.01652943,0.006465386,0.011344922,0.00347667,0.037511436,0.001646844,0.009271119,0.007502287,0.009515096,0.001219884,0.000914913,0.006892345,0.001951815,0.043610857,0.002927722,0.00115889,0.001463861,0.000853919,0.003171699,0.004025618,0.000670936,0.008112229,0.004086612
5,0.0,0.006866506,0.049154709,0.003977838,0.191646541,0.007245347,0.000236776,0.00108917,0.000615618,0.000805039,0.001278591,0.005398494,0.000710328,0.001941564,0.001041815,0.030591467,0.044655964,0.081308898,0.0290761,0.167400672,0.032580385,0.011744092,0.001799498,0.003078089,0.006866506,0.013401525,0.020504807,0.006961216,0.003078089,0.030544111,0.011933513,0.019036795,0.008666004,0.029407586,0.005493205,0.012170289,0.006440309,0.013259459,0.001752143,0.001704788,0.007671544,0.002415116,0.090211678,0.002699247,0.001657432,0.001752143,0.002130985,0.005824691,0.006677085,0.000520907,0.007860965,0.005114363
6,8.49041e-05,0.00752816,0.071262806,0.005914983,0.008037584,0.484349352,0.000283014,0.00042452,0.000141507,0.000283014,0.000990547,0.014178978,0.000820739,0.013358239,0.021197713,0.046159506,0.005292353,0.004867833,0.008405502,0.042593536,0.01695251,0.004782929,0.000764137,0.009226241,0.089488878,0.010131884,0.011688459,0.003113149,0.000849041,0.010188487,0.00752816,0.008405502,0.004499915,0.011886568,0.004726326,0.007160242,0.00356597,0.005886681,0.000650931,0.000566027,0.002773533,0.001301862,0.034216336,0.001386766,0.000339616,0.000650931,0.000566027,0.003084847,0.002575423,0.000113205,0.002801834,0.001952793
7,0.0,0.000194989,0.005654675,0.001949888,0.001072438,9.74944e-05,0.143414254,0.097884372,0.02417861,0.206200643,0.017451497,0.002339865,9.74944e-05,0.001169933,0.0,0.000487472,0.001657405,0.000682461,0.001169933,0.001754899,0.0,0.002632349,0.003607293,0.000194989,9.74944e-05,0.0,0.013844204,0.009944428,0.011699327,0.011114361,0.007019596,0.023106171,0.009456956,0.009846934,0.002339865,0.045724871,0.075168178,0.040265185,0.007507068,0.001072438,0.007799552,0.063468851,0.009456956,0.000487472,0.064151311,0.014331676,0.009749439,0.006824608,0.017354002,0.002047382,0.007507068,0.014721654
8,0.0,0.000496278,0.006253102,0.001290323,0.001439206,0.000496278,0.059007444,0.214739454,0.022382134,0.05707196,0.069330025,0.002729529,0.000397022,0.000843672,0.000148883,0.000545906,0.000794045,0.00044665,0.000694789,0.003523573,0.001588089,0.004565757,0.002531017,0.000397022,0.000595533,0.000496278,0.020347395,0.016923077,0.01955335,0.010521092,0.009181141,0.023325062,0.011116625,0.018114144,0.003126551,0.070818859,0.103573201,0.031612903,0.003225806,0.001389578,0.012704715,0.036724566,0.015186104,0.002034739,0.025210918,0.009826303,0.006898263,0.007593052,0.013101737,0.002679901,0.011563275,0.060843672
9,0.0,0.000162059,0.003079117,0.000259294,0.000615823,0.000162059,0.012186821,0.01769682,0.309694357,0.124785272,0.009107704,0.000939941,0.000226882,0.000939941,3.24118e-05,0.000453765,0.001199235,0.000810294,0.000518588,0.002495705,0.000486176,0.001717823,0.001037176,0.000259294,0.000324118,0.000291706,0.015168703,0.005477587,0.00424594,0.007422293,0.006968528,0.042815934,0.022428937,0.007065763,0.00350047,0.018215409,0.016756879,0.029883642,0.022947525,0.00129647,0.004537646,0.029267818,0.009853175,0.000810294,0.030467053,0.045895051,0.113246686,0.008880822,0.040579522,0.010566233,0.004083882,0.008135352
10,0.0,0.000669548,0.003560777,0.000365208,0.000639114,0.000334774,0.051403007,0.0418163,0.066346095,0.353429911,0.016069146,0.001491265,3.0434e-05,0.001339096,0.0,0.00045651,0.000273906,0.000426076,0.000547812,0.002769493,0.000395642,0.001734737,0.000395642,0.000182604,0.00076085,9.1302e-05,0.016921298,0.009191065,0.006269402,0.006421572,0.008734555,0.038894638,0.014090937,0.010104084,0.003865117,0.032229594,0.027634062,0.034055633,0.010621462,0.001095624,0.004747702,0.046137927,0.008430215,0.001156492,0.057763711,0.034268671,0.017651713,0.00633027,0.035029521,0.003469475,0.007395459,0.011960558
11,0.0,0.002513352,0.013760603,0.001445178,0.003393025,0.001759347,0.013823437,0.09198869,0.015331448,0.02972039,0.149167452,0.006094879,0.001256676,0.002073516,6.28338e-05,0.001445178,0.003707194,0.000879673,0.001508011,0.007854226,0.001759347,0.008671065,0.005026704,0.000942507,0.001508011,0.00131951,0.024128181,0.019541313,0.02262017,0.01206409,0.008796733,0.030160226,0.015457116,0.035752435,0.006974552,0.082312284,0.079798932,0.030474395,0.0044612,0.000565504,0.018850141,0.023562677,0.030662897,0.003455859,0.015582784,0.009236569,0.006220547,0.005717876,0.011749921,0.003016023,0.021426327,0.110398995
12,0.0,0.010713602,0.020968051,0.052496652,0.003405395,0.007461259,0.00053568,0.000841783,0.001262675,0.000994835,0.001415726,0.412397169,0.057700402,0.133728716,0.021848096,0.003252344,0.004515018,0.001989669,0.001645303,0.010369237,0.001989669,0.042356993,0.00520375,0.009297876,0.00440023,0.00214272,0.012626746,0.004094127,0.003214081,0.01936101,0.004553281,0.010101397,0.003290606,0.031872967,0.002716663,0.009450928,0.004553281,0.008953511,0.000918309,0.001186149,0.006657739,0.001913143,0.034436579,0.002487086,0.000994835,0.001224412,0.001033097,0.002640138,0.004438492,0.000688732,0.008456093,0.00520375
13,0.0,0.012044778,0.022814227,0.100751027,0.00432195,0.005384724,0.000566813,0.001912994,0.002338104,0.002054697,0.002267252,0.218364744,0.199447357,0.062987105,0.009494119,0.002338104,0.00389684,0.002408956,0.002479807,0.012399036,0.001204478,0.05583109,0.02253082,0.004888763,0.005738983,0.001487884,0.015020547,0.003755137,0.004959615,0.021113788,0.0086439,0.013603514,0.004251098,0.046266119,0.002834065,0.01211563,0.005526428,0.006801757,0.001912994,0.00042511,0.008856455,0.003188324,0.045203344,0.003684285,0.002054697,0.001842143,0.000921071,0.003330027,0.004392801,0.0,0.013674366,0.005668131
14,5.51542e-05,0.014505543,0.029011086,0.067398378,0.004081408,0.018421488,0.000165462,0.000496387,0.001268546,0.001213391,0.000827312,0.310903977,0.026253378,0.214053279,0.065909216,0.002426783,0.001930395,0.002040704,0.001709779,0.009707131,0.005625724,0.033478573,0.002868016,0.020682808,0.00717004,0.003143787,0.010424135,0.003198941,0.002702554,0.013236997,0.004191716,0.006894269,0.004081408,0.025646682,0.002206166,0.008052507,0.005129336,0.007445811,0.000772158,0.000110308,0.006287574,0.000717004,0.030334786,0.002095858,0.000827312,0.000496387,0.000275771,0.002757708,0.004688103,0.000496387,0.006728807,0.004853566
15,0.0,0.025646506,0.055674289,0.057490917,0.00480872,0.059734986,0.0,0.000427442,0.00010686,0.000427442,0.000213721,0.134537294,0.015067322,0.128125668,0.252831802,0.006732208,0.003740115,0.002030348,0.003419534,0.018486856,0.008869417,0.016029066,0.001175465,0.058025219,0.016563368,0.007693952,0.006518487,0.001602907,0.001389186,0.012609532,0.004274418,0.005556743,0.003205813,0.015174183,0.000427442,0.004060697,0.002564651,0.002885232,0.000534302,0.00010686,0.001175465,0.000534302,0.046484292,0.000748023,0.0,0.000748023,0.000641163,0.002244069,0.000748023,0.00010686,0.005129301,0.002671511
16,0.000200113,0.007537605,0.078744622,0.001967782,0.026081446,0.063769469,0.000366875,0.000833806,0.000700397,0.000733749,0.001100624,0.005069539,0.000700397,0.002001134,0.002267952,0.233732448,0.012573792,0.009338625,0.015141914,0.169295934,0.060867825,0.008037888,0.000833806,0.004969483,0.036253877,0.010872828,0.020178101,0.005002835,0.003602041,0.016109129,0.01314078,0.017910149,0.009305273,0.024247073,0.005703232,0.013040723,0.006136811,0.010572658,0.001067271,0.001067271,0.005169596,0.002201247,0.063502652,0.002768235,0.000566988,0.001267385,0.00060034,0.005102892,0.006503685,0.000466931,0.006203515,0.004569256
17,0.000749493,0.003659289,0.041662993,0.00141081,0.036769244,0.006745437,0.00061723,0.000484966,0.000661317,0.001102196,0.000969932,0.003791553,0.000661317,0.002336655,0.00061723,0.011639185,0.330835023,0.088351997,0.140287453,0.066484437,0.02248479,0.006789525,0.00101402,0.002468918,0.00546689,0.041795256,0.012432766,0.002557094,0.002513006,0.011683273,0.006128207,0.011462834,0.002997972,0.023234283,0.003571114,0.007671281,0.006260471,0.007318579,0.001939864,0.000793581,0.004320607,0.002601182,0.049642889,0.002116216,0.000925844,0.001234459,0.000308615,0.002865708,0.00405608,0.000793581,0.006789525,0.003923816
18,0.0,0.004879111,0.047353518,0.002091048,0.078980614,0.008146373,8.7127e-05,0.000740579,0.000348508,0.000435635,0.001045524,0.003920714,0.00087127,0.002962318,0.000304944,0.018253104,0.122805489,0.274406447,0.055194947,0.091047702,0.024047049,0.010193858,0.000304944,0.001524722,0.005140492,0.014114572,0.019995644,0.005227619,0.002483119,0.021302548,0.013896755,0.019342191,0.009888913,0.018862993,0.004661294,0.010542365,0.005489,0.008930516,0.001132651,0.000914833,0.003790024,0.002221738,0.058331518,0.002221738,0.000827706,0.001176214,0.00174254,0.005096929,0.003354389,0.000566325,0.005576127,0.003223699
19,0.000367802,0.004623792,0.047761665,0.001944094,0.040931063,0.004676335,0.000367802,0.000577974,0.000735603,0.001471206,0.000788146,0.003940731,0.000840689,0.001996637,0.000735603,0.01686633,0.117486339,0.041509037,0.275483396,0.090952081,0.048654897,0.010035729,0.001313577,0.000998319,0.004571248,0.082072299,0.013818831,0.004150904,0.002942413,0.011874737,0.00919504,0.010456074,0.006883144,0.025168138,0.002522068,0.012452711,0.008459437,0.008617066,0.001523749,0.001208491,0.007040773,0.001891551,0.047393863,0.002101723,0.000893232,0.000998319,0.000735603,0.00273224,0.004991593,0.000367802,0.005832282,0.004045818
20,0.000127774,0.010311386,0.118089008,0.003002696,0.048285908,0.009915286,0.000472765,0.001252188,0.00094553,0.001060527,0.001584401,0.006746483,0.000792201,0.002427712,0.001213856,0.050879726,0.020405556,0.023574358,0.023932126,0.242873388,0.052885783,0.013786847,0.002363825,0.004906533,0.01730064,0.016240113,0.025644302,0.006835925,0.004037668,0.02103165,0.015396803,0.020150007,0.008918646,0.031432478,0.005174859,0.014297944,0.008266997,0.010733041,0.001878282,0.001188301,0.008790872,0.00313047,0.100596706,0.00278548,0.002006057,0.002006057,0.001073304,0.005379298,0.007474797,0.000919975,0.008969756,0.006503712
21,0.001101091,0.006108431,0.059563758,0.002595428,0.04760906,0.024853188,0.000288381,0.000996225,0.00044568,0.000550545,0.001048658,0.004456795,0.00081271,0.0019138,0.002228398,0.109139052,0.021104237,0.01871854,0.026714555,0.162987626,0.219903523,0.008651426,0.001232173,0.00199245,0.015729866,0.026714555,0.016988255,0.004614094,0.003748951,0.016385277,0.012321728,0.017643666,0.005767617,0.024040478,0.005007341,0.012347945,0.00626573,0.012583893,0.001074874,0.001887584,0.004378146,0.00199245,0.059485109,0.002595428,0.001074874,0.00081271,0.000471896,0.003041107,0.006790059,0.000340814,0.006921141,0.003958683
22,0.0,0.063457473,0.062546756,0.055651325,0.007903724,0.003838022,0.001235973,0.001984062,0.001886486,0.001723858,0.003577818,0.037794763,0.005854611,0.018734754,0.002634575,0.003350138,0.006505123,0.003415189,0.003382664,0.02254025,0.003610343,0.217563832,0.021076598,0.019125061,0.008586762,0.0026671,0.021954789,0.008879493,0.005073996,0.034867458,0.008716865,0.020556188,0.007513417,0.089543015,0.004553586,0.024524313,0.012132054,0.012912669,0.002764677,0.001398601,0.01958042,0.004033176,0.06888925,0.004195804,0.001463653,0.002114165,0.001691332,0.004651163,0.009074646,0.001008294,0.027874451,0.019385266
23,0.0,0.011418205,0.032440508,0.024970654,0.006509444,0.002561093,0.002134244,0.004268488,0.002561093,0.002134244,0.005549034,0.019208195,0.015686693,0.009283961,0.002347668,0.002134244,0.004588624,0.004481912,0.0043752,0.018781347,0.002454381,0.090918792,0.147689681,0.008003415,0.003734927,0.002027532,0.021769288,0.0087504,0.007683278,0.026251201,0.010991356,0.015579981,0.009177249,0.065628001,0.005122185,0.042471454,0.026144488,0.01504642,0.002027532,0.000533561,0.05826486,0.006616156,0.059331982,0.00778999,0.002454381,0.002240956,0.002561093,0.007149717,0.004588624,0.000640273,0.074058265,0.086863729
24,0.0,0.08754302,0.152379445,0.051782112,0.00403497,0.016456347,0.00027691,0.000712053,0.001147197,0.000474702,0.000712053,0.023735116,0.002650421,0.016337672,0.0596147,0.008544642,0.00403497,0.003283358,0.004153645,0.024328494,0.003283358,0.039400293,0.004074528,0.181652755,0.075794137,0.001819692,0.015981645,0.005854662,0.003995411,0.014636655,0.011036829,0.014636655,0.005300843,0.027058032,0.004470114,0.010799478,0.005933779,0.008030381,0.000712053,0.000870288,0.005775545,0.003204241,0.066418767,0.003046007,0.000988963,0.001424107,0.00106808,0.00537996,0.004747023,0.000791171,0.005182167,0.004430555
25,3.38673e-05,0.019405967,0.194567684,0.019033427,0.006129983,0.118535578,0.000237071,0.001083754,0.000304806,0.000338673,0.000440275,0.012226098,0.001557896,0.006299319,0.026247164,0.02516341,0.004572087,0.003115792,0.003962475,0.042537339,0.007247604,0.010329529,0.00226911,0.048497985,0.275544417,0.003996342,0.016594981,0.002777119,0.00125309,0.012124496,0.008466827,0.011514885,0.00565584,0.013546923,0.003962475,0.007518542,0.004301148,0.007281471,0.001422427,0.000474142,0.003217394,0.001964304,0.0440275,0.002099773,0.000575744,0.001456294,0.001117621,0.005317167,0.004368883,0.000237071,0.002743252,0.002302977
26,0.001781238,0.002572899,0.035690724,0.001187492,0.02506927,0.021902626,0.000197915,0.000395831,0.000659718,0.000197915,0.000593746,0.006135374,0.000857633,0.002111096,0.002770814,0.024739412,0.076527246,0.023354004,0.149623961,0.094933369,0.107138145,0.005409685,0.001913181,0.001319435,0.008180499,0.249835071,0.007916612,0.005145798,0.00224304,0.010225623,0.008378414,0.008510358,0.004156221,0.021506795,0.001187492,0.009763821,0.005475656,0.003826362,0.001253464,0.000197915,0.003232616,0.001715266,0.042089985,0.002309012,0.000659718,0.000329859,6.59718e-05,0.001979153,0.004683995,0.000923605,0.004288165,0.002836786
